date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,LOW,entry,3,56.0649,168.19,0.17,,,99508.54
2015-01-02,LRCX,entry,31,6.8348,211.88,0.21,,,99508.54
2015-01-02,LULU,entry,3,56.038,168.11,0.17,,,99508.54
2015-01-02,LUV,entry,5,37.5566,187.78,0.19,,,99508.54
2015-01-02,LVS,entry,5,41.9844,209.92,0.21,,,99508.54
2015-01-02,LYB,entry,4,43.7462,174.98,0.17,,,99508.54
2015-01-02,LYV,entry,8,26.2331,209.86,0.21,,,99508.54
2015-01-02,MA,entry,2,80.8206,161.64,0.16,,,99508.54
2015-01-02,MAA,entry,4,49.3979,197.59,0.2,,,99508.54
2015-01-02,MAR,entry,3,70.0907,210.27,0.21,,,99508.54
2015-01-02,MAS,entry,11,18.7625,206.39,0.21,,,99508.54
2015-01-02,MCD,entry,3,70.9689,212.91,0.21,,,99508.54
2015-01-02,MCHP,entry,12,17.9397,215.28,0.22,,,99508.54
2015-01-02,MCK,entry,1,192.3796,192.38,0.19,,,99508.54
2015-01-02,MCO,entry,2,85.964,171.93,0.17,,,99508.54
2015-01-02,MDLZ,entry,7,28.31,198.17,0.2,,,99508.54
2015-01-02,MDT,entry,3,54.458,163.37,0.16,,,99508.54
2015-01-02,MET,entry,6,33.097,198.58,0.2,,,99508.54
2015-01-02,META,entry,2,78.0071,156.01,0.16,,,99508.54
2015-01-02,MGM,entry,10,20.147,201.47,0.2,,,99508.54
2015-01-02,MKC,entry,7,30.0453,210.32,0.21,,,99508.54
2015-01-02,MLM,entry,2,102.2989,204.6,0.2,,,99508.54
2015-01-02,MMM,entry,2,95.6118,191.22,0.19,,,99508.54
2015-01-02,MNST,entry,11,18.2425,200.67,0.2,,,99508.54
2015-01-02,MO,entry,9,23.8784,214.91,0.21,,,99508.54
2015-01-02,MOS,entry,5,36.1656,180.83,0.18,,,99508.54
2015-01-02,MPC,entry,6,31.7084,190.25,0.19,,,99508.54
2015-01-02,MPWR,entry,4,45.111,180.44,0.18,,,99508.54
2015-01-02,MRK,entry,5,38.5238,192.62,0.19,,,99508.54
2015-01-02,MRSH,entry,4,47.0972,188.39,0.19,,,99508.54
2015-01-02,MS,entry,7,28.6694,200.69,0.2,,,99508.54
2015-01-02,MSCI,entry,5,41.9341,209.67,0.21,,,99508.54
2015-01-02,MSFT,entry,5,39.6167,198.08,0.2,,,99508.54
2015-01-02,MSI,entry,3,56.4145,169.24,0.17,,,99508.54
